509,Eurycea naufragia,Georgetown Salamander,9
510,Eurycea sosorum,Barton Springs salamander,9
511,Eurycea tonkawae,Jollyville Plateau Salamander,9
512,Eurycea waterlooensis,Austin blind Salamander,9
513,Eutrichomyias rowleyi,Caerulean Paradise flycatcher,1
514,Eutriorchis astur,Madagascar serpent eagle,1
515,Falco araea,Seychelles kestrel,1
516,Falco femoralis septentrionalis,Northern Aplomado Falcon,1
517,Falco peregrinus peregrinus,Eurasian peregrine falcon,1
518,Falco punctatus,Mauritius kestrel,1
519,Felis jacobita,Andean cat,3
520,Felis margarita scheffeli,Pakistan sand cat,3
521,Felis nigripes,Black-footed cat,3
522,Felis pardina,Spanish lynx,3
523,Formicivora erythronotos,Black hooded (black-headed) antwren,1
524,Foudia flavicans,Rodrigues fody,1
525,Foudia rubra,Mauritius fody,1
526,Foudia sechellarum,Seychelles fody (weaver-finch),1
527,Francolinus ochropectus,Djibouti francolin,1
528,Fregata andrewsi,Andrew's frigatebird,1
529,Fulica americana alai,Hawaiian coot,1
530,Fusconaia burkei,Tapered pigtoe,7
531,Fusconaia cor,Shiny pigtoe,7
532,Fusconaia cuneolus,Finerayed pigtoe,7
533,Fusconaia escambia,Narrow pigtoe,7
534,Fusconaia rotulata,Round Ebonyshell,7
